"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bedrooms","price","number_of_reviews"
"8872",18647564,"Zuid",52.35089,4.85056,"Entire apartment","Entire home/apt",3,199,22
"8873",18649192,"De Baarsjes - Oud-West",52.36623,4.85717,"Entire apartment","Entire home/apt",2,139,0
"8874",18650091,"De Baarsjes - Oud-West",52.35894,4.84957,"Entire apartment","Entire home/apt",2,200,1
"8875",18650212,"Zuid",52.35429,4.88418,"Entire apartment","Entire home/apt",3,349,10
"8876",18652513,"Westerpark",52.3771,4.87354,"Entire apartment","Entire home/apt",1,150,3
"8878",18660534,"Westerpark",52.373,4.87285,"Entire apartment","Entire home/apt",2,135,25
"8879",18660650,"Buitenveldert - Zuidas",52.33279,4.87348,"Entire apartment","Entire home/apt",2,100,2
"8880",18661034,"Centrum-West",52.37555,4.88062,"Entire apartment","Entire home/apt",2,275,8
"8882",18665291,"De Pijp - Rivierenbuurt",52.35526,4.89714,"Entire apartment","Entire home/apt",1,85,33
"8883",18666266,"De Pijp - Rivierenbuurt",52.35629,4.8957,"Entire apartment","Entire home/apt",2,85,35
"8884",18667201,"Zuid",52.34558,4.86185,"Entire apartment","Entire home/apt",4,450,30
"8885",18667438,"Westerpark",52.38896,4.87729,"Entire apartment","Entire home/apt",1,60,13
"8886",18668041,"Bos en Lommer",52.37466,4.85447,"Entire apartment","Entire home/apt",1,100,33
"8888",18668834,"Westerpark",52.37951,4.8707,"Entire apartment","Entire home/apt",2,179,2
"8889",18670045,"Westerpark",52.38174,4.86867,"Entire apartment","Entire home/apt",1,150,15
