"R0000100","R0000300","R0000500","R0173600","R0214700","R0214800","R0410100","R0410300","R0614800","R0614900","R0615100","R0615200","R0615300","R0615400","R0615700","R0618011","R0618017","R0618100","R0618200","R0618300","R0810200","R3127500","R3127800","R3401000","R3523200","R3523500","R3559000","R3656400","R3728200","R3728500","R3897100","R4006900","R4182300","R4295100","R4416800","R4418000","R4982800","R5079800","R5081000"
10719,4,57,16,2,1,4,57,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10720,4,57,18,3,2,4,57,51,0,21,32,11,28,15,54,52,55,53,62,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10721,5,57,15,3,1,5,57,51,1,28,34,14,41,18,64,57,60,91,86,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10722,9,60,15,3,1,9,60,51,1,11,12,2,28,4,40,35,28,9,4,1,1,1000,1,1,525,-2,1,2,750,11000,1,-2,22000,697,1,7000,600,4
10723,6,58,16,2,1,5,58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10724,2,58,15,3,1,2,58,51,1,28,35,13,35,23,64,65,60,86,94,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10725,12,57,15,3,1,12,57,51,0,9,23,8,42,12,38,48,44,27,25,1,1,657,3,-4,-4,0,3,-4,-4,0,7,-4,0,-4,3,4000,950,1
10726,9,58,15,3,1,9,58,51,1,6,27,8,31,6,34,38,48,23,22,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10727,4,59,16,2,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1333,1,1,4687,27000,1,1,1145,25000,3,3,-2,6250,1,-2,7500,1
10728,9,60,15,3,1,9,60,51,1,25,32,13,29,11,59,46,57,68,65,1,1,1395,1,1,1201,24000,1,1,1553,36000,1,1,47000,2000,1,42000,1732,1
10729,9,59,16,2,1,-5,-5,51,1,15,14,5,23,8,46,41,33,13,13,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10730,4,57,16,2,1,4,57,51,1,15,28,11,35,10,46,44,52,43,41,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10731,2,60,18,3,2,2,60,51,1,23,33,13,29,21,57,62,58,66,80,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
